"","shrid2","first_park_year","treated_pc11_village_town_id","first_park_id"
"2204","11-33-602-05695-628818",99,"628818",NA
"2205","11-33-602-05697-628963",1996,"628963",5461
"2206","11-33-602-05698-629008",99,"629008",NA
"2207","11-33-602-05698-629024",99,"629024",NA
"2208","11-33-602-05698-629069",99,"629069",NA
"2209","11-33-602-05698-629097",99,"629097",NA
"2210","11-33-602-05698-629119",1988,"629119",5437
"2211","11-33-602-05699-629129",99,"629129",NA
"2212","11-33-602-05700-803328",1963,"803328",5407
"2213","11-33-603-99999-803339",99,"803339",NA
"2214","11-33-604-05702-629239",99,"629239",NA
"2215","11-33-604-05702-629245",1993,"629245",5444
"2216","11-33-604-05702-629255",99,"629255",NA
"2217","11-33-604-05702-629258",99,"629258",NA
"2218","11-33-604-05702-629271",99,"629271",NA
"2219","11-33-604-05702-629272",99,"629272",NA
"2220","11-33-604-05702-629273",99,"629273",NA
"2221","11-33-604-05702-629304",2007,"629304",7420
"2222","11-33-604-05702-629325",99,"629325",NA
"2223","11-33-604-05702-803342",1998,"803342",5454
"2224","11-33-604-05703-803345",1984,"803345",3812
"2225","11-33-604-05704-803351",1958,"803351",7372
"2226","11-33-604-05705-629381",99,"629381",NA
"2227","11-33-604-05706-629402",99,"629402",NA
"2228","11-33-604-05706-629434",99,"629434",NA
"2229","11-33-604-05706-629468",2022,"629468",6902
"2230","11-33-604-05706-629478",99,"629478",NA
"2231","11-33-604-05706-629490",99,"629490",NA
"2232","11-33-604-05706-629520",2006,"629520",6834
"2233","11-33-604-05706-629533",99,"629533",NA
"2234","11-33-604-05706-629534",99,"629534",NA
"2235","11-33-604-05706-803362",1981,"803362",5467
"2236","11-33-604-05707-629688",99,"629688",NA
"2237","11-33-604-05707-803366",1968,"803366",7957
"2238","11-33-605-05713-630472",1968,"630472",7949
"2239","11-33-605-05714-630493",1972,"630493",3093
"2240","11-33-605-05714-630494",1980,"630494",5466
"2241","11-33-605-05714-630546",99,"630546",NA
"2242","11-33-605-05715-803387",1968,"803387",4398
"2243","11-33-605-05716-630730",99,"630730",NA
"2244","11-33-605-05718-803404",2013,"803404",4117
"2245","11-33-605-05719-631034",99,"631034",NA
"2246","11-33-605-05719-631041",2009,"631041",4444
"2247","11-33-606-05722-631247",2010,"631247",3863
"2248","11-33-606-05722-631294",1995,"631294",5464
"2249","11-33-606-05722-631305",2006,"631305",7418
"2250","11-33-606-05722-631306",99,"631306",NA
